"sample_id","genome_build","coverage_mean"
"S_52643","hg19",24
"S_53443","hg19",NA
"S_17250","GRCh38",36
"S_40302","GRCh38",NA
"S_15224","GRCh38",NA
"S_92073","GRCh38",27
"S_24680","GRCh38",NA
"S_51888","GRCh38",NA
"S_37928","GRCh38",34
"S_81239","hg19",36
"S_90893","GRCh38",NA
"S_25066","hg19",31
"S_48903","GRCh38",NA
"S_84297","GRCh38",NA
"S_32019","GRCh38",NA
"S_75563","GRCh38",47
"S_86823","GRCh38",24
"S_16912","hg19",NA
"S_88413","GRCh38",41
"S_46797","GRCh38",NA
"S_74958","GRCh38",27
"S_18584","hg19",NA
"S_42292","hg19",29
"S_20044","hg19",26
"S_55062","GRCh38",NA
"S_87872","GRCh38",32
"S_69068","GRCh38",NA
"S_10140","GRCh38",37
"S_28459","hg19",NA
"S_60142","GRCh38",NA
"S_78096","hg19",48
"S_96813","GRCh38",23
"S_57498","GRCh38",NA
"S_85079","GRCh38",20
"S_97381","GRCh38",NA
"S_41592","GRCh38",34
"S_56617","hg19",NA
"S_43282","GRCh38",34
"S_37691","hg19",NA
"S_81001","GRCh38",43
"S_55507","GRCh38",NA
"S_24151","GRCh38",29
"S_97459","GRCh38",NA
"S_60842","hg19",25
"S_18026","GRCh38",33
"S_34857","hg19",NA
"S_28742","hg19",NA
"S_44863","GRCh38",NA
"S_37488","hg19",NA
"S_93689","GRCh38",26
"S_52963","hg19",NA
"S_20135","GRCh38",47
"S_94765","GRCh38",NA
"S_55295","GRCh38",44
"S_80888","hg19",48
"S_72204","GRCh38",NA
"S_20728","GRCh38",49
"S_90015","GRCh38",NA
"S_91418","GRCh38",NA
"S_55670","hg19",35
"S_83013","GRCh38",NA
